X1SEX,X1RACE,X1HISPANIC,X1WHITE,X1BLACK,X1PAREDU,X1FAMINCOME,X1SES,X1POVERTY130,X1HHNUMBER,X2PAREDU,X2FAMINCOME,X2SES,X2POVERTY130,X2HHNUMBER,X1CONTROL,X1LOCALE,X1REGION,X1SCHOOLCLI,X2ENROLSTAT,X2ENRSTATSCH,X2NUMHS,X2EVERDROP,X2DROPSTAT,X1TXMTSCOR,X1TXMQUINT,X2TXMTSCOR,X2TXMQUINT,X3TGPATOT,HS_GPA_WGT,HS_GPA_ACAD,X3TGPASTEM,RIGOR,X3TCREDTOT,X3TCREDACAD,X3TCREDSTEM,CREDITS_APIB,X3TCREDADV,X3TCREDHON,X3TCREDMAT,X3TCREDSCI,X3TCREDENG,X3THIMATH,X3THISCI,X3T1CREDALG2,X3T1CREDCALC,X3T1CREDPHYS,X3T1CREDSTAT,X3TWHENALG1,X3HSCOMPSTAT,FRESHMAN_GPA,FRESHMAN_CREDITS_ATTEMPTED,FRESHMAN_CREDITS_EARNED,X5REMRAT,X5ENRATT
1,8,0,1,0,1,3,-0.8297,0,3,-8,-8,-8.0,-8,-8,1,4,2,0.56,1,1,1,0,0,34.9344,1,-8.0,-8,2.0,2.0,1.5,1.5,6,22.5,13.5,5.5,0.0,0.0,0.0,3.5,2.0,4.5,6,1,1,0,0,0,10,1,-6.0,-6,-6,-6.0,-6
2,8,0,1,0,5,7,1.5809,0,4,6,8,1.4293,0,5,1,1,3,0.08,1,1,1,0,0,70.8013,5,63.664,5,3.5,4.0,3.5,3.0,3,27.5,24.0,7.5,5.5,11.0,0.0,3.5,4.0,7.0,11,5,1,0,1,0,10,1,3.5,36,36,0.0,3
2,3,0,0,1,-8,-8,-8.0,-8,-8,2,3,-0.1943,0,5,1,1,4,-9.0,1,1,1,0,0,-8.0,-8,35.6931,1,2.5,2.5,2.5,2.0,6,26.5,25.0,7.5,0.0,0.0,0.0,4.5,2.0,9.0,6,1,0,0,0,0,5,5,-6.0,-6,-6,-6.0,-6
2,6,0,1,0,2,3,-0.6008,0,4,2,2,-0.7298,0,4,1,2,3,-0.24,2,2,1,0,0,28.9385,1,-8.0,-8,-8.0,-8.0,-8.0,-8.0,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,-8,-8,-8,-8,-8,-8,5,-8.0,-8,-8,-8.0,-8
2,5,1,1,0,-8,-8,-0.0409,-8,-8,2,2,-1.1368,0,3,1,1,2,0.17,2,2,2,1,3,44.3582,2,40.308,1,2.0,2.0,1.5,1.0,6,19.5,14.5,5.0,0.0,0.0,0.0,3.0,2.0,3.5,5,1,0,0,0,0,4,3,-6.0,-6,-6,-6.0,-6
1,3,0,0,1,2,3,-8.0,0,2,2,4,-0.5509,0,3,1,4,2,-9.0,1,1,1,0,0,-8.0,-8,45.77,2,2.5,2.5,2.0,1.5,6,18.0,11.0,5.0,0.0,0.0,0.0,3.0,2.0,3.0,3,1,0,0,0,0,9,5,-6.0,-6,-6,-6.0,-6
2,8,0,1,0,3,5,0.1493,0,7,4,5,0.3341,0,3,2,1,2,0.35,1,1,1,0,0,56.6409,4,52.2038,4,3.0,3.5,3.0,3.0,3,27.5,19.0,7.0,0.5,0.0,3.5,4.0,3.0,4.0,11,2,0,0,0,0,4,1,2.6,36,33,0.0,3
2,8,0,1,0,3,5,0.5238,0,4,4,6,0.2747,0,3,1,4,3,-8.0,1,1,1,0,0,62.7847,5,52.1973,4,4.0,4.5,4.0,4.0,3,26.0,19.0,8.0,1.0,1.0,9.0,4.0,4.0,4.0,7,1,1,0,0,0,4,1,3.8,33,33,0.0,11
1,2,0,0,0,4,7,1.0472,0,4,5,8,0.7049,0,3,1,2,4,-1.6,1,1,1,0,0,33.6149,1,51.8459,3,2.0,2.0,1.5,1.5,5,23.0,16.0,6.5,0.0,0.0,0.0,4.5,2.0,4.0,6,1,1,0,0,0,4,1,-8.0,-8,-8,-8.0,-8
2,2,0,0,0,4,6,0.6753,0,7,5,7,0.5667,0,3,1,1,3,-9.0,1,1,1,0,0,65.5911,5,32.784,1,4.0,4.0,3.5,3.5,1,32.0,23.5,9.0,4.5,5.5,0.0,4.0,4.0,4.5,13,5,1,1,1,0,10,1,3.0,4,4,0.0,1
1,8,0,1,0,-8,-8,-0.082,-8,-8,6,8,0.5344,0,5,1,4,4,-0.44,1,1,1,0,0,30.1157,1,-8.0,-8,2.5,2.5,1.5,1.5,6,17.5,8.5,4.0,0.0,1.0,0.0,2.5,1.0,2.0,4,2,0,0,0,0,4,1,-6.0,-6,-6,-6.0,-6
2,8,0,1,0,2,2,-0.7046,0,2,4,2,-0.0091,0,3,1,2,3,-0.99,1,1,1,0,0,33.5529,1,45.2625,2,2.5,2.5,2.0,2.0,2,25.0,16.5,8.5,0.0,0.5,0.0,5.0,3.0,4.0,9,1,1,0,0,0,4,1,-6.0,-6,-6,-6.0,-6
1,8,0,1,0,-8,-8,-0.0821,-8,-8,-8,-8,-8.0,-8,-8,1,1,3,-0.06,6,6,1,0,4,46.8918,2,-8.0,-8,0.5,0.5,0.5,0.5,6,8.5,6.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,3,2,0,0,0,0,9,5,-6.0,-6,-6,-6.0,-6
2,8,0,1,0,-8,-8,-0.3642,-8,-8,4,3,-0.341,0,2,1,2,2,0.02,2,1,2,0,0,46.9388,2,43.7001,2,2.5,2.5,2.5,2.0,3,30.0,24.0,7.0,0.0,0.0,0.0,4.0,3.0,4.0,7,2,0,0,0,0,4,1,0.4,25,6,0.0,1
1,8,0,1,0,7,13,1.3291,0,4,7,13,1.1934,0,4,2,1,3,0.19,1,1,1,0,0,67.1436,5,70.3431,5,3.5,4.0,3.5,3.0,3,26.0,20.0,7.0,3.5,2.5,14.5,4.0,3.0,5.0,13,2,1,1,1,0,9,1,3.3,27,27,0.0,3
2,8,0,1,0,3,3,-0.2739,0,5,4,2,-0.5088,1,5,2,2,2,1.65,4,6,1,1,2,45.1566,2,39.7466,1,-8.0,-8.0,-8.0,-8.0,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,-8,-8,-8,-8,-8,-8,2,-8.0,-8,-8,-8.0,-8
2,8,0,1,0,-8,-8,-0.1707,-8,-8,1,2,-0.9445,1,5,1,4,1,0.31,1,1,1,0,0,47.4921,2,51.5154,3,2.5,2.5,2.0,1.5,3,23.0,20.0,7.0,0.0,1.0,1.0,3.0,4.0,4.0,6,2,1,0,1,0,4,1,1.1,25,10,0.1,-9
1,-9,-9,1,0,-8,-8,-8.0,-8,-8,2,3,-0.4972,0,4,1,2,3,-0.65,1,1,1,0,0,-8.0,-8,52.065,4,-8.0,-8.0,-8.0,-8.0,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,-8,-8,-8,-8,-8,-8,5,-8.0,-8,-8,-8.0,-8
2,8,0,1,0,-8,-8,-0.2888,-8,-8,4,5,0.1311,0,3,1,4,3,-0.01,1,1,1,0,0,48.3878,3,52.3038,4,2.5,2.5,2.5,2.0,1,29.0,18.0,8.0,0.0,0.0,1.0,4.0,3.0,5.0,6,1,1,0,0,0,4,1,-6.0,-6,-6,-6.0,-6
2,5,1,1,0,5,6,0.3972,0,4,6,8,0.4604,0,4,2,1,4,1.33,1,1,1,0,0,62.5559,5,69.39,5,4.0,4.5,4.0,4.0,1,28.5,21.0,10.0,9.0,10.5,10.0,4.5,4.0,4.0,13,5,0,1,1,0,9,1,3.5,29,29,0.0,3
